country,foreign_entity_name,client_name,foreign_ownership_pct,foreign_contribution,filing_year
Cayman Islands,BYTEDANCE LTD. (OWNS 100% OF BYTEDANCE INC.; 100% OF TIKTOK LTD.),BYTEDANCE INC.,100.0,0.0,2025
Cayman Islands,TIKTOK LTD. (OWNS 100% OF TIKTOK LLC WHICH OWNS 100% OF TIKTOK INC.),BYTEDANCE INC.,100.0,0.0,2025
Cayman Islands,CHAINLINK LABS HOLDINGS LLC,SMARTCONTRACT INC.,100.0,0.0,2025
Luxembourg,OSY TECHNOLOGIES S.A R.L.,NSO GROUP,100.0,0.0,2025
Luxembourg,NORTHPOLE NEWCO S.A R.L.,NSO GROUP,100.0,0.0,2025
Luxembourg,DUFRESNE HOLDING,NSO GROUP,100.0,0.0,2025
Luxembourg,GE S.A R.L.,"HILLANDALE GETTYSBURG, LLC",100.0,0.0,2025
Luxembourg,LUX MIDCO S.A R.L.,"HILLANDALE GETTYSBURG, LLC",100.0,0.0,2025
Luxembourg,GLOBAL LUX S.A R.L.,"HILLANDALE GETTYSBURG, LLC",100.0,0.0,2025
Luxembourg,BAKELITE INVESTMENT S.A R.L,"BROWNSTEIN HYATT FARBER SCHRECK, LLP OBO BAKELITE US HOLDCO, INC.",100.0,0.0,2025
Luxembourg,INDUSTRIAL CHEMICALS HOLDINGS S.A R.L.,"BROWNSTEIN HYATT FARBER SCHRECK, LLP OBO BAKELITE US HOLDCO, INC.",100.0,0.0,2025
Luxembourg,L1T VIP HOLDINGS S.A R.L.,AKIN GUMP LLP ON BEHALF OF VEON LTD.,45.46,0.0,2025
Virgin Islands (British),TCH GOLD LIMITED (THROUGH INTEREST IN OPEN WEALTH INVESTMENTS LIMITED),"EPIC GAMES, INC.",28.3,0.0,2026
Bermuda,BROOKFIELD BUSINESS PARTNERS L.P.,"CLARIOS, LLC",17.33,0.0,2026
Virgin Islands (British),PAG ASIA CAPITAL LEXMARK HOLDING LIMITED,LEXMARK INTERNATIONAL INC.,32.51,0.0,2022
Luxembourg,FREYR BATTERY,"FREYR BATTERY, KSPJV, LLC",50.0,0.0,2022
Bermuda,WEJO BERMUDA LTD. (SHOWING OWNERSHIP IN WEJO LTD.),"CONGAREE RIVER GROUP LLC (OBO WEJO DATA SERVICES, INC.)",100.0,0.0,2022
Bermuda,WEJO GROUP LIMITED (SHOWING OWNERSHIP IN WEJO BERMUDA LTD.),"CONGAREE RIVER GROUP LLC (OBO WEJO DATA SERVICES, INC.)",100.0,0.0,2022
Bermuda,WEJO BERMUDA LTD. (SHOWING OWNERSHIP IN WEJO LTD.),"CONGAREE RIVER GROUP LLC (OBO WEJO DATA SERVICES, INC.)",100.0,0.0,2022
Bermuda,WEJO GROUP LIMITED (SHOWING OWNERSHIP IN WEJO BERMUDA LTD.),"CONGAREE RIVER GROUP LLC (OBO WEJO DATA SERVICES, INC.)",100.0,0.0,2022
Bermuda,"MERITUS TRUST COMPANY LIMITED AS TRUSTEE OF THE GENESIS FOUNDATION PURPOSE TRUST (THE ""PURPOSE TRUST"")",GPF NA LLC,100.0,0.0,2022
Bermuda,WEJO GROUP LIMITED,"WEJO DATA SERVICES, INCORPORATED",100.0,0.0,2022
Bermuda,WEJO BERMUDA LIMITED,"WEJO DATA SERVICES, INCORPORATED",100.0,0.0,2022
Virgin Islands (British),"AVALANCHE CAYMAN, C/O CAMPBELLS CORPORATE SERVICES BVI","AVALANCHE BVI, INC.",100.0,0.0,2025
Virgin Islands (British),"GIANCARLO DEVASINI, C/O SHRM TRUSTEES (BVI) LIMITED","TETHER HOLDINGS, S.A. DE C.V.(FORMERLY KNOWN AS TETHER OPERATIONS, S.A. DE C.V.)",44.17,0.0,2025
Virgin Islands (British),"IFINEX, INC., C/O SHRM TRUSTEES (BVI) LIMITED","TETHER HOLDINGS, S.A. DE C.V.(FORMERLY KNOWN AS TETHER OPERATIONS, S.A. DE C.V.)",0.0,0.0,2025
Virgin Islands (British),"GIANCARLO DEVASINI, C/O SHRM TRUSTEES (BVI) LIMITED","FTI CONSULTING ON BEHALF OF TETHER OPERATIONS, S.A. DE C.V.",44.17,0.0,2025
Virgin Islands (British),"IFINEX, INC., C/O SHRM TRUSTEES (BVI) LIMITED","FTI CONSULTING ON BEHALF OF TETHER OPERATIONS, S.A. DE C.V.",0.0,0.0,2025
Virgin Islands (British),FINANCIAL TRADE CITY LTD.,VIRCAL FINANCE LIMITED,100.0,0.0,2025
Virgin Islands (British),"GIANCARLO DEVASINI, C/O SHRM TRUSTEES (BVI) LIMITED","TETHER OPERATIONS, S.A. DE C.V.",44.17,0.0,2025
