filing_year,filing_period,issue_code,total_spend,quarter,issue_display
2022,third_quarter,SCI,19717585.472557127,3,Science/Technology
2023,first_quarter,ENG,48796415.93277619,1,Energy/Nuclear
2023,third_quarter,VET,9881278.844383974,3,Veterans
2023,third_quarter,MAN,11005635.316541826,3,Manufacturing
2024,first_quarter,FIN,53532178.18912347,1,Financial Institutions/Investments/Securities
2025,first_quarter,INS,17251572.8849903,1,Insurance
2022,second_quarter,MMM,56178493.56070343,2,Medicare/Medicaid
2025,third_quarter,HCR,123586082.32110919,3,Health Issues
2024,fourth_quarter,RES,2486356.7142210733,4,Real Estate/Land Use/Conservation
2024,first_quarter,TAX,120833838.47766921,1,Taxation/Internal Revenue Code
2022,second_quarter,CON,985768.9703715617,2,Constitution
2025,fourth_quarter,FUE,6868559.966757099,4,Fuel/Gas/Oil
2024,first_quarter,TEC,34608478.10094026,1,Telecommunications
2026,first_quarter,SMB,9724079.453674238,1,Small Business
2023,fourth_quarter,EDU,22092568.12939864,4,Education
2024,second_quarter,CSP,20671900.022836354,2,Consumer Issues/Safety/Products
2025,second_quarter,LAW,10999419.387370946,2,Law Enforcement/Crime/Criminal Justice
2025,third_quarter,CPT,26109438.878038757,3,Copyright/Patent/Trademark
2025,fourth_quarter,VET,14326582.401954092,4,Veterans
2025,third_quarter,TRU,2754568.071345322,3,Trucking/Shipping
2025,first_quarter,NAT,18551847.860341504,1,Natural Resources
2025,first_quarter,DOC,162779.50588235294,1,District of Columbia
2024,third_quarter,TAR,2029346.502634646,3,Tariff (miscellaneous tariff bills)
2025,first_quarter,BAN,27671510.744850434,1,Banking
2025,first_quarter,EDU,24551600.646956775,1,Education
2026,first_quarter,LBR,30332198.77779293,1,Labor Issues/Antitrust/Workplace
2022,third_quarter,VET,9159954.125460092,3,Veterans
2023,second_quarter,VET,10890401.336852625,2,Veterans
2023,second_quarter,MAN,10644728.908567697,2,Manufacturing
2023,fourth_quarter,BAN,28379142.715332367,4,Banking
2024,fourth_quarter,ENG,51665307.325668685,4,Energy/Nuclear
2026,first_quarter,LAW,11971377.832211386,1,Law Enforcement/Crime/Criminal Justice
2026,first_quarter,COM,16419888.282013135,1,Communications/Broadcasting/Radio/TV
2024,fourth_quarter,LAW,10876988.747469248,4,Law Enforcement/Crime/Criminal Justice
2024,first_quarter,IND,6713454.744412279,1,Indian/Native American Affairs
2022,third_quarter,SPO,1579009.176077256,3,Sports/Athletics
2024,fourth_quarter,SMB,8746215.671324255,4,Small Business
2024,third_quarter,AGR,28113939.12010066,3,Agriculture
2024,first_quarter,FOO,6919008.686534786,1,"Food Industry (safety, labeling, etc.)"
2024,third_quarter,FOO,6669197.463860324,3,"Food Industry (safety, labeling, etc.)"
2025,third_quarter,FOR,15412895.580797747,3,Foreign Relations
2025,third_quarter,RET,9057284.445971297,3,Retirement
2025,first_quarter,ECN,6513215.191879135,1,Economics/Economic Development
2023,fourth_quarter,INS,15488318.839202244,4,Insurance
2022,fourth_quarter,POS,2707935.8827333357,4,Postal
2024,first_quarter,AVI,18447659.83074002,1,Aviation/Airlines/Airports
2022,second_quarter,CSP,16504665.56404424,2,Consumer Issues/Safety/Products
2022,second_quarter,HOU,9856956.874754269,2,Housing
2025,second_quarter,COM,12686139.705856642,2,Communications/Broadcasting/Radio/TV
2026,first_quarter,CAW,8444668.25028487,1,Clean Air and Water (quality)
2023,third_quarter,ANI,2895418.9315537405,3,Animals
2025,second_quarter,WAS,1354308.6819379448,2,Waste (hazardous/solid/interstate/nuclear)
2023,first_quarter,SMB,9469067.383659404,1,Small Business
2022,second_quarter,URB,2718527.200577201,2,Urban Development/Municipalities
2023,first_quarter,CAW,8921596.947337793,1,Clean Air and Water (quality)
2025,third_quarter,TOB,6405632.502941502,3,Tobacco
2022,first_quarter,TOU,4322883.097923582,1,Travel/Tourism
2025,third_quarter,MAR,8370015.828696887,3,Marine/Maritime/Boating/Fisheries
2024,third_quarter,GOV,15644019.749099474,3,Government Issues
2023,second_quarter,FUE,7897912.87795403,2,Fuel/Gas/Oil
2022,fourth_quarter,HOM,19775302.585928876,4,Homeland Security
2024,first_quarter,BEV,1499543.2820512822,1,Beverage Industry
2025,first_quarter,CHM,6393641.2776559405,1,Chemicals/Chemical Industry
2025,second_quarter,SMB,8815022.042827157,2,Small Business
2025,fourth_quarter,SPO,4255753.182284382,4,Sports/Athletics
2023,third_quarter,FUE,6617303.961135665,3,Fuel/Gas/Oil
2022,fourth_quarter,PHA,11994995.726659788,4,Pharmacy
2023,fourth_quarter,CHM,5777012.720567014,4,Chemicals/Chemical Industry
2022,third_quarter,ANI,2641265.0364246867,3,Animals
2022,first_quarter,POS,6744917.069362115,1,Postal
2026,first_quarter,RRR,4350747.820904242,1,Railroads
2025,second_quarter,IMM,17978487.234102216,2,Immigration
2022,third_quarter,MAN,10320187.414224664,3,Manufacturing
2023,first_quarter,RES,2607628.2812827695,1,Real Estate/Land Use/Conservation
2022,third_quarter,FUE,6040567.918947032,3,Fuel/Gas/Oil
2022,second_quarter,TOR,2763109.344301205,2,Torts
2024,fourth_quarter,WAS,1286357.0188034188,4,Waste (hazardous/solid/interstate/nuclear)
2024,second_quarter,HOU,12155090.401362631,2,Housing
2023,third_quarter,BNK,1667849.99640882,3,Bankruptcy
2023,first_quarter,RRR,5068047.80806885,1,Railroads
2025,fourth_quarter,ANI,3217396.156920041,4,Animals
2022,second_quarter,ROD,1866033.486113886,2,Roads/Highway
2022,first_quarter,INT,4836779.624727801,1,Intelligence
2024,first_quarter,FAM,1283577.6503892427,1,Family issues/Abortion/Adoption
2024,first_quarter,AUT,10066854.773539327,1,Automotive Industry
2023,second_quarter,ANI,2719396.9622451076,2,Animals
2024,fourth_quarter,RRR,4243673.131301679,4,Railroads
2026,first_quarter,RES,3368688.2641721023,1,Real Estate/Land Use/Conservation
2022,fourth_quarter,AER,6602017.569135179,4,Aerospace
2024,second_quarter,TOR,2749420.310713517,2,Torts
2024,third_quarter,AUT,8178768.910146961,3,Automotive Industry
2024,second_quarter,CON,1024655.6282533256,2,Constitution
2023,second_quarter,CDT,1656801.0878010876,2,Commodities (big ticket)
2024,second_quarter,ROD,1716442.6969322346,2,Roads/Highway
2023,third_quarter,SPO,2161554.634983089,3,Sports/Athletics
2023,second_quarter,SPO,2131854.200122655,2,Sports/Athletics
2022,fourth_quarter,INT,3746912.2584541067,4,Intelligence
2022,third_quarter,CDT,1627006.327006327,3,Commodities (big ticket)
2024,first_quarter,MIA,2126528.67965368,1,Media (information/publishing)
2024,third_quarter,MIA,2197359.432234432,3,Media (information/publishing)
2026,first_quarter,WAS,1418097.9532163744,1,Waste (hazardous/solid/interstate/nuclear)
2022,fourth_quarter,TOU,3524813.046897547,4,Travel/Tourism
2025,fourth_quarter,CDT,1984546.3702963705,4,Commodities (big ticket)
2025,third_quarter,MON,456972.81639928697,3,Minting/Money/Gold Standard
2025,third_quarter,ACC,7595262.859689331,3,Accounting
2022,third_quarter,BNK,2284760.079423619,3,Bankruptcy
2025,fourth_quarter,BNK,669314.1711229947,4,Bankruptcy
2024,third_quarter,FAM,1356529.2051984067,3,Family issues/Abortion/Adoption
2023,first_quarter,WAS,1360306.1984126985,1,Waste (hazardous/solid/interstate/nuclear)
2023,third_quarter,CDT,1520809.4572094574,3,Commodities (big ticket)
2023,fourth_quarter,DOC,410733.02246732026,4,District of Columbia
2025,third_quarter,APP,285686.40692640695,3,Apparel/Clothing Industry/Textiles
2023,second_quarter,BNK,1873787.509875745,2,Bankruptcy
2023,third_quarter,BUD,92732902.38600938,3,Budget/Appropriations
2024,fourth_quarter,TEC,32239117.230004508,4,Telecommunications
2022,third_quarter,BUD,88433064.38062361,3,Budget/Appropriations
2024,fourth_quarter,FAM,1316828.7306797882,4,Family issues/Abortion/Adoption
2024,fourth_quarter,TAX,121575077.38304728,4,Taxation/Internal Revenue Code
2026,first_quarter,GOV,23953046.499312483,1,Government Issues
2025,second_quarter,TAX,160959417.06030527,2,Taxation/Internal Revenue Code
2024,second_quarter,HCR,111862626.94923753,2,Health Issues
2023,third_quarter,CIV,5884713.130913882,3,Civil Rights/Civil Liberties
2023,third_quarter,FIR,3930363.636666667,3,Firearms/Guns/Ammunition
2023,first_quarter,TAX,116135310.66938211,1,Taxation/Internal Revenue Code
2022,first_quarter,EDU,21797270.522524517,1,Education
2024,first_quarter,DEF,65574433.09974302,1,Defense
2026,first_quarter,AGR,29566813.594675407,1,Agriculture
2023,second_quarter,BUD,96510250.53154856,2,Budget/Appropriations
2022,second_quarter,HCR,113861078.1820715,2,Health Issues
2026,first_quarter,TAX,126567601.95955819,1,Taxation/Internal Revenue Code
2023,second_quarter,CIV,6215982.304705094,2,Civil Rights/Civil Liberties
2022,fourth_quarter,EDU,20082899.204788804,4,Education
2023,first_quarter,TEC,34863306.7452787,1,Telecommunications
2024,first_quarter,SMB,10049717.120007746,1,Small Business
2024,first_quarter,CAW,8816270.205411457,1,Clean Air and Water (quality)
2024,third_quarter,DEF,64020369.749016635,3,Defense
2022,first_quarter,INS,17138835.91484307,1,Insurance
2024,fourth_quarter,FIN,53872674.54308271,4,Financial Institutions/Investments/Securities
2023,first_quarter,AVI,16915205.907931287,1,Aviation/Airlines/Airports
2024,third_quarter,TRA,37209930.74218278,3,Transportation
2024,third_quarter,CAW,8258895.855666696,3,Clean Air and Water (quality)
